gene	log2fc_fudan	n_pairs_fudan	pval_fudan
ARSB	-0.5496839130574165	16	0.0155029296875
ARSD	1.0746283802802301	8	0.3828125
ARSE	0.20837863822029043	19	0.9217147827148438
ASAH1	-0.016093564352590576	28	0.9553221687674522
ASB9	0.7872215617581455	24	0.0031430721282958984
ASCC1	0.29758189749705766	6	0.5625
ASCC2	0.03546307309455317	12	0.4697265625
ASCC3	2.226118739091436	27	0.0042315274477005005
ASH2L	-0.15635678667972985	14	0.855224609375
ASL	-0.44117418961985233	28	0.22697687149047852
ASMTL	0.31105776034219695	7	0.15625
ASNA1	0.10563498591751784	28	0.5221440717577934
ASNS	1.5935825531526187	28	2.0518898963928223e-05
ASPH	0.9864786147301241	28	1.2949109077453613e-05
ASPN	-0.6014770005547451	28	0.04774715006351471
ASPSCR1	2.625339411880544	18	0.00014495849609375
ASS1	0.2638509993191184	28	0.3740789592266083
ATAD1	-0.45954221982284466	14	0.2957763671875
ATAD3A	0.7421213260384169	28	0.012704446911811829
ATE1	0.19247640283716733	5	
ATG16L1	0.2747194217381349	18	0.28372955322265625
ATG3	1.1896607433985733	27	0.000667765736579895
ATG4B	0.9001151324401464	17	0.51708984375
ATG5	0.7229076679499581	10	0.625
ATG9A	-0.4564545365445464	18	0.39273834228515625
ATIC	0.9256610398322997	28	7.964670658111572e-06
ATL3	-0.25155249496915455	28	0.014598868787288666
ATM	0.1828103666763536	26	0.9601797163486481
ATOX1	-0.24635777355830749	14	1.0
ATP11A	-0.15395094904481177	6	0.4375
ATP13A1	-0.13475483182608186	27	0.8779177963733673
ATP1A1	-0.3536291443467199	28	0.008859716355800629
ATP1B1	-0.41740244640859125	28	0.03575380891561508
ATP1B3	-1.2579402343747117	18	0.0076904296875
ATP2A2	0.13890113201915982	28	0.3620011880993843
ATP2A3	-0.5409345280897978	27	0.001686975359916687
ATP2B1	0.18729597850671229	11	0.9658203125
ATP2B2	-0.2581314443063932	5	
ATP2B4	0.03564045866774757	28	0.7113664001226425
ATP2C1	0.9676633072804347	15	0.27685546875
ATP5A1	-0.5385561630557576	28	2.4586915969848633e-07
ATP5B	-0.6248641469352387	28	1.259148120880127e-06
ATP5C1	-0.9934317705333828	28	6.318092346191406e-05
ATP5D	-0.9213805925096453	25	0.0003764033317565918
ATP5F1	-0.23017168629986123	28	0.2015676274895668
ATP5H	0.08540392728427564	28	0.6295278295874596
ATP5I	-1.2079858117909115	27	2.041459083557129e-06
ATP5J	-1.0481417385035756	26	0.021971672773361206
ATP5L	-0.7121010748655683	28	4.2110681533813477e-05
ATP5O	-0.6412761882412097	28	0.0003059804439544678
ATP6	-0.4233067151380655	27	0.008215054869651794
ATP6V0A1	-0.08748936555143633	28	0.7621389999985695
