gene	spearman_r	n_samples
ALOX5AP	0.5429342067278529	92
ALPL	0.5795147744073299	76
ALYREF	0.40480607168645366	96
AMACR	0.7949999661059559	96
AMDHD2	0.3288917126553164	83
AMFR	0.33007176253210846	24
AMPD2	0.24832722339109073	96
AMPD3	0.3732381949322715	96
AMT	0.6903140481226127	96
ANAPC1	-0.012816314547363905	81
ANAPC10	0.00421631537790346	32
ANAPC16	-0.037551922025758466	50
ANAPC2	0.465074595454175	47
ANAPC4	0.039051900453574095	84
ANAPC5	-0.03547671840354767	84
ANAPC7	0.1627876218746114	96
ANG	-0.0879031437663542	96
ANGEL2	0.46307692307692305	25
ANGPTL2	0.5318438937044724	96
ANK2	0.4976124424421432	96
ANK3	0.633346559930376	96
ANKFY1	0.33923878076906744	96
ANKHD1	-0.006863995225046799	96
ANKLE2	0.35194497052521045	82
ANKMY2	0.6056275456360322	96
ANKRD10	0.4277310924369748	35
ANKRD13A	0.3674987876500375	96
ANKRD17	-0.022208602535768902	89
ANKRD22	0.6217617634626682	96
ANKRD27	0.3796308954203691	56
ANKRD28	0.19363345399353726	94
ANKRD44	0.39136966841522086	96
ANKRD54	0.4674292858360363	73
ANKS1A	0.3474557015864431	96
ANKS4B	0.5136836251042263	96
ANKZF1	-0.07172813617861108	46
ANLN	0.5783334608150718	54
ANO1	0.7037679992163606	82
ANO10	0.5906121978893335	96
ANO6	0.4745113200233942	96
ANP32A	0.20590290024619687	96
ANP32B	0.40917815745030084	96
ANP32E	0.6448313516959787	96
ANPEP	0.6846315847574788	96
ANTXR1	0.5863424252382518	77
ANTXR2	0.5247633950453391	91
ANXA1	0.5390396093326099	96
ANXA11	0.49099615430092247	96
ANXA13	0.7737828782267802	96
ANXA2	0.6191149590206484	96
ANXA3	0.1709989521135447	96
ANXA4	0.40710257427856944	96
