gene	log2fc	pval	qval	n_pairs
ECH1	-0.46938645833333353	7.326333653745552e-11	2.332813122115753e-10	96
ECHDC1	-0.47772083333333315	5.758892992703821e-16	5.512225603731869e-15	96
ECHDC2	-0.8043458333333334	6.556510925292969e-06	1.23595481308768e-05	24
ECHDC3	-0.8749	1.4474727817270985e-08	3.565012809327131e-08	64
ECHS1	-0.3311875	1.6845449721501133e-07	3.7189467549249994e-07	96
ECI1	-0.6147031249999999	1.972237413422379e-13	9.075268042970329e-13	96
ECI2	-0.628023958333333	3.1201978861038433e-15	2.1851156177318043e-14	96
ECM1	-0.31045104166666665	3.129876834818404e-06	6.065379458346815e-06	96
ECSIT	-0.19227395833333338	1.6016973778128467e-06	3.2105729631748997e-06	96
ECT2	0.605642105263158	4.17494447901845e-08	9.78334003134292e-08	38
EDC3	0.26326770833333335	4.199516091775026e-09	1.0980275815942474e-08	96
EDC4	0.15459791666666667	4.131769071907851e-08	9.692321224975444e-08	96
EDEM3	-0.06194545454545453	0.39470287767198897	0.43276051745405686	44
